"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019년 05월 21일","7,930.3","7,965.0","8,056.8","7,813.2","804.88K","-0.44%"
"2019년 05월 20일","7,965.3","8,156.4","8,156.4","7,604.0","958.81K","-2.35%"
"2019년 05월 19일","8,157.2","7,261.9","8,253.4","7,252.3","1.08M","12.32%"
"2019년 05월 18일","7,262.6","7,359.9","7,458.5","7,189.4","865.53K","-1.32%"
"2019년 05월 17일","7,359.5","7,871.9","7,924.0","6,998.6","1.43M","-6.51%"
"2019년 05월 16일","7,871.8","8,164.8","8,293.3","7,720.4","1.18M","-3.59%"
"2019년 05월 15일","8,164.6","7,994.8","8,225.3","7,856.5","1.13M","2.13%"
"2019년 05월 14일","7,994.6","7,806.4","8,323.9","7,674.0","1.33M","2.42%"
"2019년 05월 13일","7,806.0","6,984.7","8,058.3","6,893.1","1.20M","11.76%"
"2019년 05월 12일","6,984.8","7,190.0","7,518.9","6,802.6","1.35M","-2.86%"
"2019년 05월 11일","7,190.3","6,386.6","7,373.8","6,386.5","1.31M","12.59%"
"2019년 05월 10일","6,386.0","6,194.3","6,466.6","6,157.8","907.94K","3.14%"
"2019년 05월 09일","6,191.5","5,990.5","6,206.0","5,990.0","799.96K","3.36%"
"2019년 05월 08일","5,990.3","5,849.4","6,011.3","5,799.1","757.13K","2.41%"
"2019년 05월 07일","5,849.5","5,745.5","6,019.8","5,745.5","955.88K","1.82%"
